WPID,gene_id,edge_id
WP4971,30849,24465
WP4971,5289,24464
WP5095,10344,24467
WP4971,84812,24466
WP5293,6932,24469
WP531,4292,24468
WP4971,5290,24461
WP4971,5336,24460
WP4971,5294,24463
WP4971,5291,24462
WP5381,1408,12487
WP2882,11254,36432
WP170,2516,12488
WP2882,140809,36433
WP3264,282870,60
WP111,1349,12485
WP2332,3383,36434
WP3248,282870,61
WP111,1350,12486
WP2332,3589,36435
WP3263,282870,62
WP2332,466,36436
WP3248,529552,63
WP2533,10423,36437
WP3273,513730,64
WP111,4512,12489
WP2533,9791,36438
WP3250,100138102,65
WP2533,137964,36439
WP3248,615697,66
WP970,503552,67
WP4874,2033,24439
WP970,282870,68
WP966,100138102,69
WP170,5468,12450
WP111,7350,12451
WP2882,81031,36420
WP5293,4893,24432
WP5095,282617,24431
WP5095,7124,24434
WP5293,1147,24433
WP5095,6352,24436
WP5293,8517,24435
WP4874,1385,24438
WP4874,10645,24437
WP2882,54657,36429
WP5294,5071,24430
WP5381,9101,12454
WP2882,5055,36421
WP3273,536229,70
WP5381,5728,12455
WP2882,114112,36422
WP981,503552,71
WP5381,351,12452
WP2882,7296,36423
WP993,503552,72
WP5381,1211,12453
WP2882,6526,36424
WP978,100138102,73
WP5381,1213,12458
WP2882,1066,36425
WP990,100336662,74
WP5381,5970,12459
WP2882,177,36426
WP1425,10140,75
WP5381,4218,12456
WP2882,2878,36427
WP1425,10766,76
WP5381,10890,12457
WP2882,54577,36428
WP15,10549,77
WP15,10587,78
WP15,10935,79
WP5053,9620,12461
WP5381,10743,12462
WP5381,56288,12460
WP4874,5595,24443
WP5293,5594,24442
WP5293,5604,24445
WP5293,5595,24444
WP4874,57521,24447
WP5293,5605,24446
WP4874,5894,24449
WP4874,5879,24448
WP2882,388662,36418
WP2882,155184,36419
WP4874,5594,24441
WP5293,2735,24440
WP15,140606,80
WP111,51079,12465
WP2882,2877,36410
WP1533,1491,81
WP5342,114907,12466
WP2882,221357,36411
WP15,1491,82
WP4872,10912,12463
WP2882,23764,36412
WP1533,19,83
WP5053,5087,12464
WP2882,1579,36413
WP15,19,84
WP4558,3467,12469
WP2882,131,36414
WP15,22928,85
WP2882,6536,36415
WP15,241,86
WP170,2063,12467
WP2882,57181,36416
WP15,247,87
WP111,291,12468
WP2882,4097,36417
WP15,257202,88
WP15,25824,89
WP1533,2694,90
WP15,280636,91
WP15,2879,92
WP1533,3039,93
WP15,3039,94
WP1533,326625,95
WP1533,348,96
WP15,348303,97
WP1533,3949,98
WP15,3949,99
WP399,6934,3803
WP4352,85456,3804
WP4875,2905,3805
WP4352,7465,3806
WP4352,4176,3807
WP4352,10421,3808
WP4875,7532,3809
WP4352,23404,3800
WP4352,246175,3801
WP4875,818,3802
WP3930,4050,3814
WP4352,4747,3815
WP411,10181,3816
WP363,1021,3817
WP411,10236,3818
WP411,10250,3819
WP4352,2720,3810
WP4352,54512,3811
WP4352,25904,3812
WP3930,5727,3813
WP411,10659,3825
WP411,10772,3826
WP411,10907,3827
WP411,10914,3828
WP411,10921,3829
WP411,10262,3820
WP411,10291,3821
WP411,10421,3822
WP411,10482,3823
WP411,10594,3824
WP411,11338,3836
WP363,1452,3837
WP363,1453,3838
WP411,1477,3839
WP411,10946,3830
WP411,10972,3831
WP411,10978,3832
WP411,10992,3833
WP411,11051,3834
WP411,11218,3835
WP411,23283,3847
WP411,23450,3848
WP411,23451,3849
WP411,1478,3840
WP411,1479,3841
WP411,1660,3842
WP411,1665,3843
WP2359,203068,3844
WP411,22826,3845
WP411,22916,3846
WP411,3190,3860
